                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.58462,                0.62561,                0.98924,                 0.9806,                0.96257,                0.98897,                 0.9002,                0.41195,                0.34727,                0.84307,             0.00048478,             0.00048478,             0.00048478
                    115,                0.58909,                0.61253,                0.98237,                 0.9819,                0.96952,                0.98912,                0.90093,                0.40806,                0.33891,                0.83662,             0.00048224,             0.00048224,             0.00048224
                    116,                0.58831,                0.61676,                  0.977,                0.98806,                0.97104,                0.98767,                0.89692,                0.41604,                0.33428,                 0.8388,              0.0004797,              0.0004797,              0.0004797
                    117,                0.58627,                0.60512,                0.98214,                0.98618,                0.97142,                0.98853,                0.89855,                0.41219,                0.33599,                0.83685,             0.00047716,             0.00047716,             0.00047716
                    118,                 0.5845,                0.60459,                0.97586,                0.98862,                0.96407,                0.98898,                0.90272,                 0.4047,                0.33002,                0.83743,             0.00047463,             0.00047463,             0.00047463
                    119,                0.57373,                0.61109,                0.97058,                0.98283,                0.97346,                0.99009,                0.90616,                0.40294,                0.32802,                0.83914,             0.00047209,             0.00047209,             0.00047209
                    120,                0.58613,                0.59985,                0.97377,                  0.989,                0.96623,                0.98768,                0.90111,                0.41091,                0.33194,                0.83885,             0.00046955,             0.00046955,             0.00046955
                    121,                0.59926,                0.61804,                0.99194,                0.99262,                  0.973,                0.98992,                0.90606,                0.40126,                0.32744,                0.83859,             0.00046701,             0.00046701,             0.00046701
                    122,                0.59219,                0.60077,                  0.986,                0.98491,                0.97246,                0.98988,                0.90487,                0.40513,                0.32466,                0.83506,             0.00046448,             0.00046448,             0.00046448
                    123,                0.57915,                0.60463,                0.97681,                0.98234,                 0.9659,                0.98856,                0.90713,                0.39388,                0.32766,                0.83293,             0.00046194,             0.00046194,             0.00046194
                    124,                0.58359,                0.59426,                0.97484,                0.98824,                0.97387,                0.98998,                0.91145,                0.39341,                0.31533,                0.83025,              0.0004594,              0.0004594,              0.0004594
                    125,                0.58964,                0.58686,                0.97783,                0.98731,                0.96866,                0.98929,                0.91057,                0.39906,                0.31941,                 0.8329,             0.00045686,             0.00045686,             0.00045686
                    126,                0.56889,                0.57348,                0.97053,                0.98602,                0.96901,                0.98945,                0.91369,                0.38807,                0.31448,                0.83048,             0.00045433,             0.00045433,             0.00045433
                    127,                0.56846,                0.58567,                0.97276,                0.99167,                 0.9735,                0.99055,                0.91091,                0.39242,                0.31875,                0.82893,             0.00045179,             0.00045179,             0.00045179
                    128,                0.54521,                0.55812,                0.96313,                0.98474,                0.97198,                0.99056,                0.91414,                0.38377,                0.31586,                0.82771,             0.00044925,             0.00044925,             0.00044925
                    129,                 0.5713,                0.57394,                0.97027,                0.98612,                0.97355,                0.99127,                0.91152,                0.39216,                0.31497,                0.83075,             0.00044671,             0.00044671,             0.00044671
                    130,                0.56496,                0.59378,                0.97496,                0.98818,                0.97462,                0.99031,                0.90892,                 0.3912,                0.31439,                0.83008,             0.00044417,             0.00044417,             0.00044417
                    131,                0.54496,                 0.5759,                 0.9636,                0.98853,                0.97244,                0.98974,                0.91171,                0.39206,                0.31465,                0.83209,             0.00044164,             0.00044164,             0.00044164
                    132,                0.57465,                0.58358,                0.96938,                0.98714,                0.96349,                0.98933,                0.91055,                0.39354,                0.31767,                 0.8256,              0.0004391,              0.0004391,              0.0004391
