                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.52328,                0.49296,                0.96034,                   0.99,                0.98338,                0.99261,                0.93556,                0.34448,                0.26611,                0.81205,             0.00045686,             0.00045686,             0.00045686
                    126,                0.50692,                0.48839,                0.95607,                0.99276,                0.98003,                0.99232,                0.94163,                0.33185,                 0.2645,                0.81221,             0.00045433,             0.00045433,             0.00045433
                    127,                0.48661,                0.48993,                0.94738,                0.99133,                0.97774,                0.99237,                0.93684,                0.33984,                 0.2729,                0.81415,             0.00045179,             0.00045179,             0.00045179
                    128,                0.48059,                0.47336,                0.94542,                0.99343,                0.98529,                0.99352,                0.94112,                0.33048,                0.26073,                0.80946,             0.00044925,             0.00044925,             0.00044925
                    129,                0.49706,                0.47859,                0.94939,                 0.9894,                0.98075,                0.99319,                0.93961,                0.33821,                0.26933,                0.81322,             0.00044671,             0.00044671,             0.00044671
                    130,                0.48705,                0.47025,                0.95103,                0.99646,                0.97885,                0.99347,                0.94225,                0.33284,                0.26276,                0.81024,             0.00044417,             0.00044417,             0.00044417
                    131,                0.47633,                0.48636,                0.94417,                0.99027,                0.97773,                0.99347,                0.93397,                0.33396,                0.26716,                0.80938,             0.00044164,             0.00044164,             0.00044164
                    132,                0.50015,                0.49134,                0.94494,                0.99423,                0.97969,                0.99332,                0.94227,                 0.3301,                0.26149,                0.80782,              0.0004391,              0.0004391,              0.0004391
                    133,                0.49318,                0.48568,                 0.9498,                0.99295,                0.98177,                0.99268,                0.94423,                0.31948,                0.25353,                0.80593,             0.00043656,             0.00043656,             0.00043656
                    134,                0.48027,                0.46312,                0.94287,                0.99179,                 0.9777,                0.99324,                0.94272,                0.32171,                0.25689,                0.80602,             0.00043402,             0.00043402,             0.00043402
                    135,                0.49535,                0.47921,                0.94836,                0.99186,                0.98176,                0.99272,                0.93812,                0.33118,                0.25584,                0.80359,             0.00043149,             0.00043149,             0.00043149
