                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                0.54161,                0.60674,                 1.0001,                 0.9814,                0.96494,                0.98994,                0.92216,                0.35437,                0.29539,                0.83068,             0.00054061,             0.00054061,             0.00054061
                     93,                0.52276,                0.60135,                0.99763,                0.98697,                0.96577,                0.98954,                0.92835,                0.34491,                0.28809,                0.82555,             0.00053807,             0.00053807,             0.00053807
                     94,                0.53398,                0.59134,                0.99227,                0.98481,                0.97123,                0.98954,                 0.9243,                0.34782,                0.29268,                0.82618,             0.00053553,             0.00053553,             0.00053553
                     95,                 0.5243,                0.57203,                0.98295,                0.99241,                0.96804,                0.99028,                 0.9199,                0.35556,                0.30078,                0.82903,             0.00053299,             0.00053299,             0.00053299
                     96,                0.52922,                0.59053,                0.99832,                0.99061,                0.97114,                0.99004,                0.93159,                0.34083,                0.28637,                0.82235,             0.00053046,             0.00053046,             0.00053046
                     97,                0.53658,                 0.5732,                 0.9907,                0.98412,                0.97478,                 0.9907,                0.93198,                0.33906,                0.29043,                0.81865,             0.00052792,             0.00052792,             0.00052792
                     98,                0.53415,                0.60374,                0.99801,                0.98939,                0.96451,                0.98982,                 0.9307,                0.33214,                0.29009,                0.81711,             0.00052538,             0.00052538,             0.00052538
                     99,                0.51535,                0.57294,                0.97885,                0.98954,                0.97483,                0.99089,                0.93443,                0.32901,                0.28062,                0.81927,             0.00052284,             0.00052284,             0.00052284
                    100,                0.52028,                0.57406,                0.98797,                0.98922,                0.97644,                0.99078,                0.93314,                0.33123,                0.28087,                0.81849,             0.00052031,             0.00052031,             0.00052031
                    101,                0.50882,                0.58013,                 0.9764,                  0.986,                0.97918,                0.99056,                0.93036,                0.34001,                0.28113,                0.81488,             0.00051777,             0.00051777,             0.00051777
                    102,                0.52665,                0.55459,                0.98473,                0.98529,                0.97658,                0.98992,                0.92735,                0.34887,                0.28788,                0.81824,             0.00051523,             0.00051523,             0.00051523
                    103,                0.53307,                0.57919,                 0.9972,                0.98027,                0.97528,                0.98998,                0.93439,                0.32167,                 0.2786,                0.81427,             0.00051269,             0.00051269,             0.00051269
                    104,                0.52623,                0.56595,                0.99348,                0.98632,                0.97347,                0.99071,                0.92975,                0.33666,                0.28116,                0.81947,             0.00051015,             0.00051015,             0.00051015
                    105,                0.51518,                0.56145,                0.98183,                0.99142,                0.97562,                0.99019,                0.93229,                0.33827,                0.27184,                0.81474,             0.00050762,             0.00050762,             0.00050762
                    106,                0.51865,                0.58285,                0.99136,                0.98846,                0.97271,                0.98943,                0.93212,                0.33019,                  0.282,                0.81372,             0.00050508,             0.00050508,             0.00050508
                    107,                0.52067,                0.57158,                0.99328,                0.99277,                0.97676,                0.99133,                0.93833,                0.31697,                0.26216,                0.81017,             0.00050254,             0.00050254,             0.00050254
                    108,                0.50917,                0.55419,                0.98095,                0.98786,                0.97617,                0.99192,                0.94215,                0.31276,                 0.2665,                0.80837,                 0.0005,                 0.0005,                 0.0005
                    109,                0.51069,                0.54581,                0.97597,                0.99419,                0.97095,                0.99185,                0.93661,                0.32282,                0.26988,                0.80871,             0.00049747,             0.00049747,             0.00049747
